DateRepConf,HealthStatus,Count
2020-04-17,RECOVERED,198
2020-11-17,RECOVERED,1103
2020-07-11,RECOVERED,1281
2021-07-29,RECOVERED,5591
2020-08-23,RECOVERED,2270
2020-10-05,RECOVERED,2154
2021-05-06,RECOVERED,6472
2021-04-24,RECOVERED,9436
2021-04-21,RECOVERED,9011
2021-03-26,RECOVERED,9664
2021-06-03,RECOVERED,7031
2021-06-16,ACTIVE,29
2021-04-08,RECOVERED,9038
2020-12-17,RECOVERED,1407
2021-03-14,RECOVERED,4788
2021-03-25,RECOVERED,8621
2020-09-12,RECOVERED,4824
2021-05-15,RECOVERED,6594
2021-05-13,RECOVERED,6210
2020-11-18,RECOVERED,1335
2021-06-20,RECOVERED,5679
2020-08-21,RECOVERED,4556
2021-05-29,RECOVERED,7309
2021-04-04,RECOVERED,10843
2021-06-01,RECOVERED,5061
2021-06-12,DIED,120
2020-09-05,RECOVERED,2425
2021-07-22,RECOVERED,5735
2021-07-01,RECOVERED,5657
2021-07-15,RECOVERED,5081
2021-06-08,RECOVERED,4694
2021-06-21,RECOVERED,5137
2020-11-09,RECOVERED,1997
2020-08-26,RECOVERED,5093
2020-05-15,RECOVERED,202
2020-11-04,RECOVERED,948
2021-05-14,RECOVERED,6617
2020-09-13,RECOVERED,3263
2020-12-16,RECOVERED,1112
2021-05-12,RECOVERED,4706
2021-06-07,RECOVERED,6399
2021-06-08,DIED,72
2021-07-29,DIED,103
2021-07-26,RECOVERED,5969
2021-06-09,RECOVERED,5330
2021-04-11,RECOVERED,11494
2020-10-30,DIED,37
2020-11-08,RECOVERED,2368
2021-06-11,RECOVERED,6525
2021-05-31,RECOVERED,6523
2020-10-28,RECOVERED,1983
2020-12-14,RECOVERED,1285
2021-05-27,RECOVERED,6324
2021-02-04,DIED,38
2020-08-13,RECOVERED,3791
2020-12-18,RECOVERED,2070
2020-08-03,RECOVERED,3067
2021-06-02,RECOVERED,5112
2021-06-06,RECOVERED,7059
2021-05-28,RECOVERED,8541
2021-06-24,RECOVERED,5909
2021-04-16,RECOVERED,10515
2021-06-05,RECOVERED,6784
2021-02-19,RECOVERED,1852
2020-12-09,RECOVERED,1346
2020-08-06,RECOVERED,3362
2020-10-06,RECOVERED,2009
2020-09-10,RECOVERED,3715
2021-02-27,RECOVERED,2865
2021-08-08,RECOVERED,3756
2020-07-07,RECOVERED,1423
2021-07-12,RECOVERED,5113
2020-08-10,RECOVERED,6711
2020-08-08,RECOVERED,4008
2020-08-07,RECOVERED,3242
2021-08-07,ACTIVE,1850
2021-07-17,RECOVERED,5941
2021-03-02,RECOVERED,2023
2021-08-15,ACTIVE,14587
2021-03-29,RECOVERED,9833
2020-07-26,RECOVERED,1979
2021-07-31,RECOVERED,7996
2020-06-14,RECOVERED,504
2020-09-19,RECOVERED,3671
2020-12-22,RECOVERED,1272
2020-08-20,RECOVERED,4123
2021-04-07,RECOVERED,6276
2021-08-13,ACTIVE,13052
2020-07-17,RECOVERED,1594
2020-08-02,RECOVERED,4786
2020-05-29,RECOVERED,1007
2021-04-03,RECOVERED,12398
2020-07-04,RECOVERED,1282
2020-07-30,RECOVERED,3735
2020-05-28,RECOVERED,509
2021-03-01,RECOVERED,1976
2020-08-22,RECOVERED,4776
2021-02-25,RECOVERED,2208
2020-10-09,RECOVERED,2889
2021-04-06,RECOVERED,9159
2021-04-12,RECOVERED,11193
2020-08-05,RECOVERED,3332
2021-02-06,RECOVERED,1897
2020-08-01,RECOVERED,4701
2020-11-28,RECOVERED,1851
2020-07-06,RECOVERED,1929
2020-12-20,RECOVERED,1697
2020-07-29,RECOVERED,1776
2020-08-12,RECOVERED,4134
2020-09-28,RECOVERED,2964
2021-07-23,RECOVERED,6688
2021-05-05,RECOVERED,5488
2021-05-02,RECOVERED,8192
2021-04-23,RECOVERED,8522
2020-07-12,RECOVERED,2011
2020-08-04,RECOVERED,5761
2021-06-17,RECOVERED,6511
2021-01-28,RECOVERED,1126
2020-07-09,RECOVERED,1293
2020-09-26,RECOVERED,2615
2020-05-31,RECOVERED,828
2021-04-20,RECOVERED,7234
2020-08-30,RECOVERED,4137
2020-08-27,RECOVERED,3112
2021-05-08,RECOVERED,6813
2021-03-09,RECOVERED,2625
2020-07-18,RECOVERED,2164
2021-04-01,RECOVERED,8744
2020-10-08,RECOVERED,2280
2020-09-09,RECOVERED,3062
2020-07-22,RECOVERED,1410
2020-10-16,RECOVERED,3060
2020-07-25,RECOVERED,1894
2020-06-06,RECOVERED,669
2020-07-20,RECOVERED,1440
2020-08-25,RECOVERED,2863
2021-03-08,RECOVERED,3309
2021-02-28,RECOVERED,2065
2020-06-01,RECOVERED,525
2021-08-11,ACTIVE,10840
2021-06-15,RECOVERED,5291
2021-04-15,RECOVERED,11189
2021-08-03,RECOVERED,6776
2021-02-13,RECOVERED,1912
2020-10-18,RECOVERED,2308
2020-10-12,RECOVERED,3480
2020-07-16,RECOVERED,2306
2020-06-26,RECOVERED,941
2020-06-09,RECOVERED,493
2020-08-14,RECOVERED,5980
2021-07-20,RECOVERED,4430
2021-06-26,RECOVERED,6751
2020-07-15,RECOVERED,1223
2021-03-03,RECOVERED,1733
2021-01-30,RECOVERED,2054
2020-12-21,RECOVERED,1677
2020-10-22,RECOVERED,1605
2021-05-16,RECOVERED,5656
2021-07-05,RECOVERED,5273
2020-07-23,RECOVERED,2046
2021-04-10,RECOVERED,12502
2020-08-24,RECOVERED,4528
2020-08-16,RECOVERED,3227
2021-05-07,RECOVERED,7583
2021-02-20,RECOVERED,2198
2021-01-09,RECOVERED,1883
2020-08-18,RECOVERED,4680
2021-04-05,RECOVERED,8185
2020-07-31,RECOVERED,3814
2021-04-25,RECOVERED,7981
2020-11-26,DIED,30
2021-02-10,RECOVERED,1296
2021-07-30,RECOVERED,8399
2020-10-26,RECOVERED,1539
2021-08-10,ACTIVE,7618
2020-09-23,RECOVERED,2691
2020-09-17,RECOVERED,3252
2021-06-12,RECOVERED,7871
2020-07-19,RECOVERED,2111
2020-08-31,RECOVERED,3343
2021-04-19,RECOVERED,9453
2021-08-01,RECOVERED,8564
2021-07-25,RECOVERED,4846
2021-08-11,RECOVERED,1114
2021-07-27,RECOVERED,5841
2021-07-18,RECOVERED,5303
2021-08-04,RECOVERED,7205
2021-07-03,RECOVERED,5768
2021-04-18,RECOVERED,9904
2021-05-04,RECOVERED,5558
2021-05-03,DIED,133
2021-08-02,RECOVERED,8061
